party,Ap_Pres,UBC,R2C,GSHC,Fox,CNN,Lower_Immigration,Glob_W,Tax_high_income,Death_Pen,Fed_too_much_Power,Stricter_Gun_Laws,Stricter_Env_laws,Cats,Knitting
R,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
R,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
R,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1
R,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0
R,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
R,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
R,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1
R,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
R,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
R,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0
R,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0
R,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0
R,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1
R,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1
R,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
R,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1
R,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
R,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0
R,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0
R,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1
R,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0
R,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
R,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1
R,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1
R,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
R,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0
R,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1
R,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1
R,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1
R,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1
R,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
R,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
R,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0
R,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0
R,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
R,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1
R,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0
R,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1
R,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0
R,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1
R,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0
R,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1
R,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1
R,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
R,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1
R,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0
R,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
R,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
R,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
R,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
R,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1
R,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0
R,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1
R,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0
R,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1
R,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0
R,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1
R,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0
R,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
R,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
R,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0
R,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0
R,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
R,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0
R,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0
R,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0
R,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1
R,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
R,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
R,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0
R,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1
R,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1
R,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1
R,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
R,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1
R,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0
R,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
R,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
R,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
R,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1
R,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1
R,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1
R,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
R,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0
R,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1
R,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0
R,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0
R,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1
R,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0
R,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
R,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
R,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
R,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0
R,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1
R,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1
R,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
R,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1
R,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1
R,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
R,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0
R,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0
R,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0
R,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1
R,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0
R,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
R,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
R,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
R,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1
R,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1
R,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1
R,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
R,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1
R,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
R,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
R,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1
R,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0
R,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
R,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0
R,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1
R,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1
R,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
R,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
R,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1
R,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0
R,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0
R,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1
R,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
R,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0
R,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
R,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1
R,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
R,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
R,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
R,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1
R,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
R,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0
R,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1
R,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
R,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0
R,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
R,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0
R,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1
R,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
R,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
R,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
R,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1
R,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
R,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
R,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
R,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
R,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
R,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
R,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0
R,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0
R,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1
R,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
R,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1
R,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
R,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
R,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1
R,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
R,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1
R,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1
R,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1
R,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1
R,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1
R,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
R,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
R,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1
R,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0
R,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
R,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
R,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
R,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0
R,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
R,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1
R,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0
R,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0
R,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
R,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1
R,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
R,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1
R,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
R,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
R,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
R,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
R,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1
R,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0
R,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1
R,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
R,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
R,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
R,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0
R,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0
R,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
R,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1
R,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
R,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
R,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1
R,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
R,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
R,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1
R,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
R,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1
R,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0
R,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
R,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1
R,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0
R,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1
R,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
R,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1
R,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
R,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
R,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
R,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
R,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0
R,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
R,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
R,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0
R,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
R,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1
R,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1
R,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
R,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
R,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1
R,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1
R,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1
R,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0
R,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
R,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0
R,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0
R,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
R,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1
R,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
R,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
R,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
R,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1
R,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
R,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0
R,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1
R,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
R,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
R,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0
R,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0
R,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
R,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1
R,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
R,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
R,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1
R,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0
R,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
R,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
